"","CensusTract","lng1","lat1","lng2","lat2","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","centerlat","centerlng"
"1",32003002825,-115.100979,36.089916,-115.091316,36.085618,"Nevada","Clark County",3235,1716,1519,34.2,53.8,4.6,0,4,0,2293,61196,7533,25040,3101,15.5,23.8,25.1,30.9,27.8,3.8,12.3,92,2,0,0.8,1.8,3.3,21.4,1413,74.8,16.9,8.3,0,9.7,36.087767,-115.0961475
"2",32003002303,-115.162207,36.14368,-115.154775,36.13613,"Nevada","Clark County",580,329,251,8.8,64.5,2.8,0,18.6,0,528,125078,32250,111641,26488,5,0,56.3,4.8,28.3,8.8,1.8,53.7,11,0,6.6,0,28.7,15.1,272,76.1,3.7,20.2,0,1.8,36.139905,-115.158491
"3",32003003223,-115.313698,36.186611,-115.28706,36.173843,"Nevada","Clark County",3325,1649,1676,5,73,3.6,0,14,0,2362,102539,17646,83033,15141,3.4,5.1,64.1,11.3,21.7,1.1,1.9,87.4,0.3,0,0.6,1.5,10.1,23.1,1509,82,12.5,5.5,0,4.7,36.180227,-115.300379
"4",32003002834,-115.138965,36.016937,-115.136586,36.013264,"Nevada","Clark County",6095,3184,2911,15.8,64.2,2.8,0,11.7,0.5,4421,64898,10058,31645,3401,7.3,8.5,36.7,33.6,22.5,2.4,4.8,75.9,13.8,3.5,2.9,1.6,2.4,20.8,3708,82,11.6,6.4,0,3.5,36.0151005,-115.1377755
"5",32003003500,-115.154101,36.196596,-115.151849,36.195679,"Nevada","Clark County",3220,1508,1712,28.8,8.1,53.2,0,6.8,0,1813,38135,5770,14080,1586,27.3,37.6,17.6,26.5,30.4,15.2,10.3,78.6,7.2,8.7,1.1,1.8,2.6,26.5,1085,86.9,10.1,2.9,0,16.3,36.1961375,-115.152975
"6",32003002829,-115.150407,36.035887,-115.147033,36.033345,"Nevada","Clark County",3924,1921,2003,23.2,55.9,4.9,0.4,8.2,0,2799,78472,16424,33476,4583,4.3,4.5,32.9,31.1,23.1,5.8,7.1,81.1,9.6,1.2,0,2.2,5.8,21.3,2173,85.7,9.7,4.6,0,4.9,36.034616,-115.14872
"7",32003002405,-115.150648,36.117097,-115.146309,36.114695,"Nevada","Clark County",4483,2808,1675,55.4,28.4,5.5,1.6,3.2,0.3,2065,30120,6430,17905,2562,30.9,45.9,5.3,53,21.7,8.1,12,43.2,13.1,23.2,6.3,14.2,0,25.2,2234,94.5,1.3,4.2,0,8.5,36.115896,-115.1484785
"8",32003004301,-115.111665,36.209347,-115.106787,36.206861,"Nevada","Clark County",1579,784,795,89,1.5,7.7,1,0.8,0,467,26731,5927,12215,2215,46.1,60.2,11.3,37.9,17.2,23.5,10.1,78.2,9,6.2,0,6.6,0,27.7,506,89.7,6.7,2,1.6,21.1,36.208104,-115.109226
"9",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"10",32003005341,-114.981107,36.012562,-114.976649,36.007054,"Nevada","Clark County",2585,1136,1449,18.7,74.4,0.7,0,4.2,1.1,1944,84063,10863,32383,5509,7.8,6.4,25.6,21.9,26.5,16.4,9.6,77.8,13.8,1,1.5,3.3,2.6,23.8,1248,84,11.7,4.3,0,7.3,36.009808,-114.978878
"11",32003004601,-115.108901,36.232345,-115.107587,36.230586,"Nevada","Clark County",5384,2689,2695,64.7,9.7,22.2,0.1,2.3,0,2359,35807,9382,10708,1450,35.6,47.7,11.3,27.4,31.4,20.3,9.6,75.6,14.9,5.7,1.4,2.4,0,22.8,1622,93.9,4.9,1.2,0,11.8,36.2314655,-115.108244
"12",32003005318,-115.077144,36.040261,-115.074899,36.038414,"Nevada","Clark County",3248,1851,1397,1.5,71.5,6.3,0,10.4,5.1,2313,86810,14032,44774,8054,19,51.6,49.5,12.4,25.9,5.5,6.8,87.6,4.5,0,0,2.3,5.6,17.9,1373,82.8,10.9,6.3,0,3.2,36.0393375,-115.0760215
"13",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"14",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"15",32003003102,-115.228437,36.180812,-115.223822,36.174661,"Nevada","Clark County",6162,3041,3121,49.6,38.4,6.3,0.4,3.5,0,3583,43173,6051,17158,1455,25.4,39.3,16.7,37.6,29.3,5.9,10.6,59.8,24.7,8.2,3.2,2.9,1.2,25.4,3072,90.9,7.5,1.2,0.5,7.2,36.1777365,-115.2261295
"16",32003002404,-115.141631,36.126917,-115.137074,36.125302,"Nevada","Clark County",4601,2545,2056,49,14.4,25,0.2,3.6,0.5,1980,23379,3019,11775,1417,55.3,72.9,11.1,35.5,34.9,4.7,13.8,56.3,6.1,29.6,6,1.1,0.9,29.4,1875,94.6,2.1,3.4,0,14.2,36.1261095,-115.1393525
"17",32003003422,-115.233096,36.195841,-115.223884,36.193606,"Nevada","Clark County",5369,2553,2816,43.7,35.1,10.9,2.8,2.1,2,3493,38373,5282,20230,3318,21.6,29.1,12.4,37.5,27.7,13,9.5,71.9,13.4,5.8,2.5,2.9,3.4,23.8,2495,91.6,5.5,2.2,0.8,8.5,36.1947235,-115.22849
"18",32003003004,-115.250987,36.177873,-115.243661,36.173875,"Nevada","Clark County",2360,1329,1031,15.1,52.4,25.7,0.8,1.4,0.8,1858,38993,8728,21060,2126,10,6.9,28.5,27.5,31.6,0.8,11.7,70.5,15.4,9.6,0.6,2.2,1.8,22.6,1397,89.7,7.6,2.7,0,4.8,36.175874,-115.247324
"19",32003003630,-115.198344,36.254159,-115.193575,36.250461,"Nevada","Clark County",6718,3244,3474,33.3,41.1,16.1,0.3,5.7,0.3,4515,68822,8818,24549,2336,8.4,14.3,18.8,23.7,32.9,9.5,15.1,82.7,11.7,2.2,0.4,0.5,2.6,30,3472,85.5,9,5.5,0,10.7,36.25231,-115.1959595
"20",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"21",32003002965,-115.22504,36.104191,-115.207947,36.099885,"Nevada","Clark County",4408,2273,2135,41,44.6,8,0.4,4.9,0,2798,32056,2448,18704,2261,16.8,27,9.5,47.9,18.5,13.3,10.8,75.9,10.4,10.4,0.4,0,2.9,21.8,1657,87.6,2.3,10.1,0,5.2,36.102038,-115.2164935
"22",32003004500,-115.107994,36.213227,-115.105745,36.209347,"Nevada","Clark County",4709,2429,2280,77.5,5.5,12.5,0.2,1.1,0.2,1558,37108,6867,13887,1916,22.2,34.1,12.7,39,16.7,18.2,13.4,83.1,12.8,2.1,0.4,1.6,0,22.4,1813,91.2,2.8,6,0,13.6,36.211287,-115.1068695
"23",32003002706,-115.121195,36.100193,-115.118895,36.096507,"Nevada","Clark County",4010,2202,1808,47.2,31.1,12.5,0,7.3,0.6,1985,26531,2630,21017,5258,29.1,52.7,11.3,40.5,25.8,8.9,13.5,62.2,4.9,22.9,1.7,8.3,0,24.8,2025,89.8,4.6,5.6,0,7.8,36.09835,-115.120045
"24",32003005333,-115.061953,36.026611,-115.061155,36.025235,"Nevada","Clark County",2665,1364,1301,7.4,72,2.4,0,14.9,0,1886,95104,6594,44843,4763,3.5,2.6,41.2,14.2,30.5,6.2,7.9,85.2,4.7,0,1.2,3.1,5.9,20.2,1347,77.3,12.8,9.9,0,6,36.025923,-115.061554
"25",32003003700,-115.129501,36.217695,-115.125011,36.211875,"Nevada","Clark County",2466,1211,1255,34.9,3.2,60.8,0,0.7,0,1532,31313,6427,15015,2191,26.7,23.7,11,35.8,20.2,19.2,13.8,81.6,11.1,4.3,0,0,3,22.1,920,87,8.4,3.2,1.5,18.3,36.214785,-115.127256
"26",32003005321,-115.064942,36.034075,-115.056006,36.02754,"Nevada","Clark County",3835,1805,2030,21.6,61.5,3.6,0,9.4,0.5,2864,78056,7449,36274,4093,14.8,27.2,47.7,18.7,27,2.1,4.5,85.2,5.7,0.6,1,0.3,7.1,18.6,2056,79.5,16,4.2,0.3,9.9,36.0308075,-115.060474
"27",32003003613,-115.175249,36.224823,-115.170302,36.217622,"Nevada","Clark County",7289,3462,3827,42.3,23.3,21.6,0,4.5,4.5,4396,57318,6006,18996,2215,14.9,18.4,28.9,27.4,19.7,7,17,83.9,10.7,2.4,0.6,1.1,1.3,28,3268,79.8,13.5,5.8,1,8.7,36.2212225,-115.1727755
"28",32003002501,-115.128021,36.129865,-115.118549,36.120786,"Nevada","Clark County",6646,3736,2910,50,19.8,7.8,0.2,16.7,0,3274,40238,6051,20898,2732,17.6,24.5,11.6,44.7,23.4,11.3,8.9,68.5,15.3,9.6,4,2.6,0.1,26.3,3759,93.2,4.5,2.3,0,9.2,36.1253255,-115.123285
"29",32003005317,-115.088041,36.043092,-115.082206,36.034544,"Nevada","Clark County",5416,2848,2568,13.6,70.5,3.8,0,9.4,0,4283,52277,10371,41262,4646,4.3,0,46.8,15.3,24.3,6.2,7.4,86.3,5.4,1,0.6,2.7,4.1,21.8,2626,84.6,10.9,4.5,0,8.2,36.038818,-115.0851235
"30",32003003223,-115.313698,36.186611,-115.28706,36.173843,"Nevada","Clark County",3325,1649,1676,5,73,3.6,0,14,0,2362,102539,17646,83033,15141,3.4,5.1,64.1,11.3,21.7,1.1,1.9,87.4,0.3,0,0.6,1.5,10.1,23.1,1509,82,12.5,5.5,0,4.7,36.180227,-115.300379
"31",32003005842,-115.33566,36.125766,-115.33213,36.121927,"Nevada","Clark County",2197,1077,1120,4.9,70,10.7,0,10.9,0.5,1547,121250,38085,88088,19004,9.2,15.5,51.6,10.6,29.3,2.7,5.7,74.5,2.6,0.8,0,2.8,19.4,24.2,912,83.2,8.7,8.1,0,3.5,36.1238465,-115.333895
"32",32003002947,-115.22946,36.129198,-115.224918,36.125446,"Nevada","Clark County",3075,1605,1470,9.1,72.2,0.9,0,15.2,0,2523,72460,15300,39118,6763,9.6,0,34.9,20.7,30.2,7.2,7,82,2.6,0,4.8,0,10.6,18.1,1410,85,8.3,6.2,0.5,2.3,36.127322,-115.227189
"33",32003002974,-115.279425,36.07038,-115.260663,36.066302,"Nevada","Clark County",6000,3224,2776,27.5,43.7,7.3,0,14.9,1.4,3875,62422,6047,26881,2804,12.2,21.6,23.9,37.3,26.3,4.2,8.2,88.7,6.2,0.4,0,2.3,2.4,20.2,3564,93.5,2.7,3.7,0,3.3,36.068341,-115.270044
"34",32003002842,-115.161057,35.981258,-115.154686,35.974823,"Nevada","Clark County",6399,3417,2982,21.8,44.8,2.9,0,19.4,4.2,4149,74967,5982,26687,2526,7.4,5.2,28.4,38.8,20.9,6.4,5.5,85.3,8.8,0,0,2.4,3.6,19.6,3401,88.3,9.2,2.5,0,7.5,35.9780405,-115.1578715
"35",32003003629,-115.193605,36.265197,-115.188878,36.261424,"Nevada","Clark County",6605,2871,3734,29.4,36.9,17.5,0.5,7.5,0,4476,70938,8967,24226,3555,7.9,11.8,24.1,27.7,37.1,4.8,6.3,80.2,15.2,1.1,0,1.9,1.5,26.1,2874,78.5,18.3,3.1,0,8.2,36.2633105,-115.1912415
